G12739	Unchar_37316
G25461	Unchar_38565
G23838	Unchar_38596
G23122	Unchar_39326
G10905	Unchar_42248
G20321	128up
G23866	1433e
G21497	1433g
G21499	1433z-1
G5921	1433z-2
G4442	209l2
G11219	2a5a
G12076	2a5d-1
G12135	2a5d-2
G28188	2aaa
G15682	2aba
G21526	3bhs1
G21134	3bhs2
G23863	3bhs3
G15345	3bp2-1
G14247	3bp2-2
G15804	3bp2-3
G14246	3bp2-4
G31831	3bp5h
G5494	3bp5l
G11887	3hao-1
G11889	3hao-2
G5491	3hidh
G729	3mg
G32291	463l
G10783	4cl
G27169	4cl1
G13146	4cl2
G19250	4cll4
G32812	4cll7
G446	4ebp1
G20320	4et
G16906	4padh
G21317	5ht1b
G15635	5ht1r
G14318	5ht2a-1
G15065	5ht2a-2
G4974	5ht2b-1
G4333	5ht2b-2
G25670	5ht3a
G15129	5ht4r-1
G16364	5ht4r-2
G15130	5ht4r-3
G22246	5ht6r
G32553	5htr-1
G31984	5htr-2
G28123	5nt3b-1
G28122	5nt3b-2
G16290	5ntc-1
G15116	5ntc-2
G19350	5ntd-1
G17848	5ntd-2
G19341	5ntd-3
G19445	5ntd-4
G22117	6pgd
G26937	6pgl
G12980	72B-peptide-NP
G2183	8odp
G714	A13cb
G17895	A16a1
G14709	A16l1
G6678	A1cf-1
G6676	A1cf-2
G32589	A1m-1
G32593	A1m-2
G16244	A2478
G35432	A2mg
G27462	A4-1
G34261	A4-2
G34626	A6907
G18849	Aa2ar-1
G10856	Aa2ar-2
G25455	Aa2br-1
G32020	Aa2br-2
G13275	Aa2da
G20486	Aaad-1
G15450	Aaad-2
G15241	Aaad-3
G15044	Aaad-4
G31458	Aaas-1
G31444	Aaas-2
G20190	Aaat
G29561	Aacs
G615	Aadat
G12987	Aagab
G3296	Aak1
G11308	Aakb2-1
G10958	Aakb2-2
G32620	Aakg2
G27494	Aamp
G3440	Aapk2
G25015	Aar2
G24483	Aara
G5819	Aasd1
G28497	Aass-1
G28495	Aass-2
G5875	Aat
G16087	Aatc
G6929	Aatf
G20764	Aatm
G1317	Ab14g-1
G1316	Ab14g-2
G12488	Ab17c
G4327	Ab22g-1
G32238	Ab22g-2
G29266	Abap1-1
G15764	Abap1-2
G565	Abca1-1
G2716	Abca1-2
G458	Abca1-3
G567	Abca1-4
G29595	Abca3-1
G28561	Abca3-2
G28563	Abca3-3
G28564	Abca3-4
G1164	Abca3-5
G1137	Abca5
G27551	Abcb6-1
G32321	Abcb6-2
G16854	Abcb7
G10446	Abcba
G20401	Abcc8
G29449	Abcd1
G3441	Abcd3
G13758	Abcd4
G25547	Abce1
G31132	Abcf1
G32517	Abcf2
G20371	Abcf3
G24370	Abcg1
G3475	Abcg2
G13417	Abcg5
G13418	Abcg8
G25070	Abcgk
G12286	Abd12-1
G12288	Abd12-2
G24788	Abd18
G3926	Abdb-1
G3925	Abdb-3
G22118	Abh15-1
G22055	Abh15-2
G9191	Abhd2-1
G8604	Abhd2-2
G8382	Abhd2-3
G3844	Abhd3
G21563	Abhd4
G30167	Abhd6
G34904	Abhd8
G22845	Abhdb
G26552	Abhea-1
G26548	Abhea-2
G26562	Abhea-3
G27075	Abhga
G5474	Abi1
G32373	Abitm
G25702	Abl-1
G23776	Abl-2
G16310	Ablm1
G21817	Abr
G12930	Abra
G6906	Abral
G15048	Abrx1
G6773	Abt1
G28539	Abtb1
G19153	Acac-1
G19163	Acac-10
G19139	Acac-11
G19145	Acac-12
G19176	Acac-13
G19172	Acac-2
G19144	Acac-3
G19154	Acac-4
G19175	Acac-5
G19181	Acac-6
G19136	Acac-7
G19148	Acac-8
G19132	Acac-9
G19142	Acaca-1
G19179	Acaca-10
G19143	Acaca-11
G19174	Acaca-12
G19162	Acaca-2
G19178	Acaca-3
G19156	Acaca-4
G19180	Acaca-5
G19135	Acaca-6
G19170	Acaca-7
G19137	Acaca-8
G19146	Acaca-9
G19171	Acacb
G18528	Acad8
G28524	Acad9
G5525	Acadl
G25223	Acadm
G23494	Acads
G14468	Acadv
G22911	Acap2-1
G22909	Acap2-2
G22870	Acatn
G5318	Acbd5
G27917	Acbd6
G13042	Acbg2
G32357	Acbp
G10957	Acbp4
G21141	Acd10
G20188	Acd11-1
G34079	Acd11-2
G15138	Acdsb
G22243	Ace-1
G6987	Ace-2
G5983	Ace-3
G5996	Ace-4
G34778	Ace-5
G14606	Acer3-1
G14613	Acer3-2
G14610	Acer3-3
G26633	Aces-1
G1731	Aces-2
G15811	Aces-3
G28182	Ach1-1
G21478	Ach1-2
G10128	Ach1-3
G10127	Ach1-4
G10129	Ach1-5
G10130	Ach1-6
G1287	Ach1-7
G15314	Ach1-8
G14985	Ach1-9
G18997	Ach10-1
G15792	Ach10-10
G35363	Ach10-11
G7471	Ach10-2
G28912	Ach10-3
G10244	Ach10-4
G10402	Ach10-5
G1406	Ach10-6
G1405	Ach10-7
G6996	Ach10-8
G4877	Ach10-9
G24454	Ach2-1
G24502	Ach2-2
G11939	Ach2-3
G10126	Ach3
G31044	Ach4
G24453	Ach7
G25615	Ach91
G19624	Acha-1
G17238	Acha-2
G28177	Acha-3
G2261	Acha-4
G2940	Acha-5
G15666	Acha-6
G15665	Acha-7
G13119	Acha2-1
G7035	Acha2-2
G8015	Acha3-1
G13030	Acha3-10
G13145	Acha3-11
G15313	Acha3-12
G16467	Acha3-13
G16463	Acha3-14
G15163	Acha3-15
G15156	Acha3-16
G31914	Acha3-17
G25465	Acha3-2
G25460	Acha3-3
G25468	Acha3-4
G28181	Acha3-5
G25469	Acha3-6
G25462	Acha3-7
G25260	Acha3-8
G21480	Acha3-9
G27155	Acha5-1
G22405	Acha5-2
G1201	Acha5-3
G32352	Acha5-4
G9061	Acha6-1
G29453	Acha6-10
G28392	Acha6-11
G29452	Acha6-12
G10377	Acha6-13
G13726	Acha6-14
G2262	Acha6-15
G2260	Acha6-16
G2264	Acha6-17
G2265	Acha6-18
G4233	Acha6-19
G27722	Acha6-2
G4192	Acha6-20
G5292	Acha6-21
G5551	Acha6-22
G6573	Acha6-23
G16462	Acha6-24
G15161	Acha6-25
G15170	Acha6-26
G15165	Acha6-27
G14930	Acha6-28
G14986	Acha6-29
G24378	Acha6-3
G15315	Acha6-30
G25001	Acha6-4
G28178	Acha6-5
G28184	Acha6-6
G21594	Acha6-7
G21479	Acha6-8
G30735	Acha6-9
G25805	Acha7-1
G13723	Acha7-10
G1288	Acha7-11
G1403	Acha7-12
G4506	Acha7-13
G4507	Acha7-14
G32285	Acha7-15
G32172	Acha7-16
G34865	Acha7-17
G35346	Acha7-18
G35345	Acha7-19
G27723	Acha7-2
G25259	Acha7-3
G27721	Acha7-4
G23218	Acha7-5
G22831	Acha7-6
G30750	Acha7-7
G28393	Acha7-8
G10125	Acha7-9
G13725	Acha9-1
G12577	Acha9-2
G2263	Acha9-3
G4876	Acha9-4
G35289	Acha9-5
G1290	Achab
G5258	Achatin-NP
G28183	Achb-1
G25804	Achb-2
G28180	Achb-3
G24968	Achb-4
G29054	Achb2-1
G14984	Achb2-2
G16957	Achb3-1
G19622	Achb3-2
G7727	Achb3-3
G1378	Achb3-4
G5911	Achb3-5
G31916	Achb3-6
G12844	Achc-1
G12848	Achc-2
G25467	Achd-1
G5788	Achd-2
G5660	Achd-3
G13031	Achn2
G21555	Acinu
G23403	Ack1
G23393	Ackl
G27585	Ackmt
G513	Acl4
G4747	Acl6a
G17177	Acly
G6269	Acm2
G10917	Acm3-1
G6072	Acm3-2
G32790	Acmsd
G13323	Acnt2
G2419	Aco13-1
G2720	Aco13-2
G7144	Acoc
G398	Acod
G2085	Acon
G13324	Acot1-1
G13328	Acot1-2
G13327	Acot1-3
G13326	Acot1-4
G13325	Acot1-5
G32114	Acot1-6
G32115	Acot1-7
G22759	Acot8
G22782	Acot9
G30503	Acox1-1
G5763	Acox1-2
G6399	Acox1-3
G4863	Acox1-4
G23748	Acox3
G20208	Acp7-1
G21596	Acp7-2
G29076	Acp7-3
G11875	Acp7-4
G1779	Acpm
G27403	Acrc
G11095	Acs2l
G163	Acsa
G24083	Acsf2-1
G26017	Acsf2-2
G25663	Acsf2-3
G24078	Acsf2-4
G25662	Acsf2-5
G27093	Acsf2-6
G28277	Acsf2-7
G28226	Acsf2-8
G22721	Acsf3
G26758	Acsf4
G1375	Acsl1
G14465	Acsl4
G2898	Acsl5
G1893	Acsm3
G4151	Acss3
G27522	Act-1
G22476	Act-2
G21818	Act-3
G3054	Act-4
G3061	Act-5
G3062	Act-6
G34804	Act-7
G21819	Act1-1
G28428	Act1-2
G6437	Act1-3
G6436	Act1-4
G6435	Act1-5
G6434	Act1-6
G22477	Act2-1
G34803	Act2-2
G22478	Act3-1
G1173	Act3-2
G16208	Act3-3
G16211	Act3-4
G16205	Act3a
G22475	Actc-1
G3064	Actc-2
G3055	Actc-3
G3063	Actc-4
G1174	Actc-5
G11380	Actp
G15282	Actz
G28032	Acvr1
G28511	Acy1-1
G28505	Acy1-2
G13311	Acyp1-1
G13313	Acyp1-2
G6914	Ada-1
G6911	Ada-2
G7263	Ada10-1
G7288	Ada10-10
G7229	Ada10-11
G7284	Ada10-12
G7246	Ada10-13
G7234	Ada10-2
G8360	Ada10-3
G7286	Ada10-4
G7218	Ada10-5
G7237	Ada10-6
G7287	Ada10-7
G7228	Ada10-8
G7230	Ada10-9
G15703	Ada12
G25523	Ada17-1
G25525	Ada17-2
G25142	Ada17-3
G25237	Ada17-4
G14423	Ada17-5
G33466	Ada17-6
G30747	Ada1a-1
G14343	Ada1a-2
G32614	Ada1a-3
G35428	Ada1b
G3072	Ada2-1
G6623	Ada2-2
G35405	Ada22
G27969	Ada2a-1
G16214	Ada2a-2
G27970	Ada2c-1
G15863	Ada2c-2
G32761	Ada2c-3
G1413	Adap1
G4810	Adas
G21060	Adat1
G26606	Adat3
G12446	Adck1
G35222	Adck5
G32813	Adcy1
G22961	Adcy2
G6558	Adcy3
G32677	Adcy5
G27428	Adcy9
G10782	Adcya
G16954	Adgb
G3500	Adhx
G1554	Adip
G22101	Adipl
G1488	Adk1
G12779	Adk2
G11824	Adpgk-1
G10999	Adpgk-2
G26187	Adppt
G310	Adprh-1
G303	Adprh-2
G309	Adprh-3
G308	Adprh-4
G305	Adprh-5
G21549	Adprm-1
G1328	Adprm-2
G15716	Adprs
G29172	Adra2-1
G4478	Adra2-2
G12309	Adrb1-1
G32110	Adrb1-2
G18596	Adrb2-1
G23864	Adrb2-2
G30220	Adrl
G4344	Adrm1
G296	Adro
G730	Adt-1
G996	Adt-2
G994	Adt-3
G4787	Adt1-1
G14683	Adt1-2
G17492	Adx
G2945	Adxh1
G6388	Aebp1
G18682	AEBP2-TF
G25706	Aedo
G32196	Af10
G21826	Af1l1
G11634	Af9
G16885	Afad
